,p-value,Score
regulation of integrin biosynthetic process (GO:0045113),1.32E-02,8352.53
chronic inflammatory response (GO:0002544),1.32E-02,8352.53
peptidyl-cysteine S-nitrosylation (GO:0018119),1.32E-02,8352.53
astrocyte development (GO:0014002),1.32E-02,6499.56
regulation of macromolecule biosynthetic process (GO:0010556),1.32E-02,6499.56
astrocyte differentiation (GO:0048708),1.32E-02,5287.72
leukocyte aggregation (GO:0070486),1.32E-02,4436.86
peptidyl-cysteine modification (GO:0018198),1.32E-02,3808.55
defense response to fungus (GO:0050832),3.05E-02,1111.12
glial cell development (GO:0021782),3.05E-02,1006.18
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244),3.92E-02,589.61
regulation of intrinsic apoptotic signaling pathway (GO:2001242),3.92E-02,425.07
inorganic anion transport (GO:0015698),3.92E-02,405.46
positive regulation of apoptotic signaling pathway (GO:2001235),3.92E-02,362.85
pattern recognition receptor signaling pathway (GO:0002221),3.92E-02,347.96
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),3.92E-02,327.57
neutrophil chemotaxis (GO:0030593),3.92E-02,292.57
response to molecule of bacterial origin (GO:0002237),3.92E-02,277.46
granulocyte chemotaxis (GO:0071621),3.92E-02,277.46
chloride transport (GO:0006821),3.92E-02,263.66
positive regulation of growth (GO:0045927),3.92E-02,263.66
neutrophil migration (GO:1990266),3.92E-02,259.33
regulation of organelle organization (GO:0033043),3.92E-02,247.05
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919),3.92E-02,243.19
positive regulation of neuron projection development (GO:0010976),3.92E-02,218.84
